movie_id,content notes,,,,,
S1S4,2i,,,,,
M5N6,"2c, 3d",,,,,
I5J6,"3b, 3d, 3e, 2e",,,,,
W3X4,3d,,,,,
S5H8,"2b, 2i, 2c",,,,,
I1J2,2b,,,,,
G3H4,"2a, 2e, 2f, 3e, 3j",,,,,
I9J0,"1c, 1f, 1g, 2b, 2c, 2d, 2e, 2f, 2i, 3b, 3e, 3h",,,,,
