movieID,Date,Time,locationID,,,
F2H1,07.11.25,20:30,1632d7cb-d9a1-4906-8320-75409ba6f2a1,,,
C9D0,11.11.25,18:00,1632d7cb-d9a1-4906-8320-75409ba6f2a1,,,
Q7R8,06.11.25,20:30,10f94747-2ca0-4498-b796-920dd0682f25,,,
S9T0,08.11.25,15:30,10f94747-2ca0-4498-b796-920dd0682f25,,,
Q2S5,08.11.25,18:00,Loc2,,,
G7H8,08.11.25,20:30,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
M3N4,07.11.25,20:30,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
K7L8,08.11.25,15:30,Bb06b299-80bc-41f6-88b3-143b8d862ab2,,,
A3B4,08.11.25,15:30,Loc2,,,
S1S4,09.11.25,13:00,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
M5N6,08.11.25,20:30,1632d7cb-d9a1-4906-8320-75409ba6f2a1,,,
A1B2,08.11.25,13:00,Loc2,,,
I5J6,09.11.25,20:30,10f94747-2ca0-4498-b796-920dd0682f25,,,
W3X4,09.11.25,18:00,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
K1L2,08.11.25,18:00,10f94747-2ca0-4498-b796-920dd0682f25,,,
E5F6,07.11.25,18:00,10f94747-2ca0-4498-b796-920dd0682f25,,,
S5H8,07.11.25,22:45,10f94747-2ca0-4498-b796-920dd0682f25,,,
C3D4,06.11.25,20:30,loc1,,,
O5P6,09.11.25,13:00,1632d7cb-d9a1-4906-8320-75409ba6f2a1,,,
U1V2,09.11.25,15:30,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
C5D6,07.11.25,20:30,10f94747-2ca0-4498-b796-920dd0682f25,,,
Q3R4,08.11.25,13:00,10f94747-2ca0-4498-b796-920dd0682f25,,,
G9H0,09.11.25,13:00,Loc2,,,
E7F8,07.11.25,18:00,Loc2,,,
K3L4,07.11.25,22:45,Bb06b299-80bc-41f6-88b3-143b8d862ab2,,,
Y1Z2,09.11.25,15:30,Loc2,,,
S5T6,08.11.25,13:00,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
I1J2,08.11.25,13:00,Bb06b299-80bc-41f6-88b3-143b8d862ab2,,,
E1F2,08.11.25,18:00,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
G3H4,07.11.25,22:45,Loc2,,,
Y5Z6,08.11.25,22:45,Loc2,,,
W9X0,07.11.25,20:30,Loc2,,,
I9J0,09.11.25,18:00,Loc2,,,
M9N0,08.11.25,22:45,10f94747-2ca0-4498-b796-920dd0682f25,,,
U7V8,08.11.25,15:30,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
O1P2,08.11.25,18:00,1632d7cb-d9a1-4906-8320-75409ba6f2a1,,,
A7B8,07.11.25,18:00,C6494d3e-4d80-4bb9-abc9-d97cdcad49b8,,,
